
Host: sv1-c724

Timers On : Tue Mar 17 08:36:28 2026
Timers Off: Tue Mar 17 08:36:35 2026

Wall Time:        7.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.009w     48 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.283u      0.000s      0.138w     47 calls
HF: Form C                          :      0.017u      0.000s      0.019w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.267u      0.000s      0.176w      5 calls
JKGrad: Amn                         :      0.067u      0.000s      0.042w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.033u      0.000s      0.032w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.033u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.133u      0.000s      0.072w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.039w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.024w      5 calls
DFH: initialize()                   :      0.100u      0.017s      0.077w      5 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.015w     10 calls
| DFH: AO Construction              :      0.000u      0.000s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.000s      0.045w      5 calls
| SAD Guess                         :      0.067u      0.000s      0.043w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.009w     48 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.283u      0.000s      0.138w     47 calls
HF: Form C                          :      0.017u      0.000s      0.019w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.267u      0.000s      0.176w      5 calls
| JKGrad: Amn                       :      0.067u      0.000s      0.042w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.033u      0.000s      0.032w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.133u      0.000s      0.072w      5 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.013w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:39:50 2026
Timers Off: Tue Mar 17 13:42:03 2026

Wall Time:      132.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.008w      3 calls
DFH: initialize()                   :      0.083u      0.000s      0.049w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.016w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.008w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.001w      1 calls
HF: Guess                           :      0.050u      0.000s      0.036w      1 calls
SAD Guess                           :      0.050u      0.000s      0.035w      1 calls
HF: Form G                          :      0.000u      0.000s      0.013w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.012w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.012w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.009w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.067u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.004w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      1 calls
DFH: initialize()                   :      0.083u      0.000s      0.049w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.016w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.008w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.001w      1 calls
HF: Guess                           :      0.050u      0.000s      0.036w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.035w      1 calls
HF: Form G                          :      0.000u      0.000s      0.013w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.012w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.012w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.009w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.067u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.004w      7 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:45:04 2026
Timers Off: Tue Mar 17 13:45:07 2026

Wall Time:        2.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.017s      0.039w      5 calls
Libint2ERI::Libint2ERI              :      0.083u      0.033s      0.071w     35 calls
DFH: initialize()                   :      0.117u      0.017s      0.074w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.014w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.008w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.039w      5 calls
SAD Guess                           :      0.067u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      0.009w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.150u      0.000s      0.126w     47 calls
HF: Form C                          :      0.017u      0.000s      0.017w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.283u      0.017s      0.168w      5 calls
JKGrad: Amn                         :      0.083u      0.000s      0.039w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.067u      0.000s      0.029w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.017u      0.017s      0.014w      5 calls
JKGrad: Amnx                        :      0.100u      0.000s      0.070w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.017s      0.039w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.026w      5 calls
DFH: initialize()                   :      0.117u      0.017s      0.074w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.019w     10 calls
| DFH: AO Construction              :      0.017u      0.000s      0.014w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.008w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.039w      5 calls
| SAD Guess                         :      0.067u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      0.009w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.008w     48 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.150u      0.000s      0.126w     47 calls
HF: Form C                          :      0.017u      0.000s      0.017w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.283u      0.017s      0.168w      5 calls
| JKGrad: Amn                       :      0.083u      0.000s      0.039w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.013w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.067u      0.000s      0.029w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.017u      0.017s      0.014w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.100u      0.000s      0.070w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.013w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:45:05 2026
Timers Off: Tue Mar 17 13:45:07 2026

Wall Time:        2.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.034w      5 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.064w     35 calls
DFH: initialize()                   :      0.117u      0.017s      0.067w      5 calls
DFH: AO Construction                :      0.067u      0.000s      0.014w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.017s      0.041w      5 calls
SAD Guess                           :      0.067u      0.017s      0.039w      1 calls
HF: Form G                          :      0.017u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.017u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.017u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.300u      0.000s      0.130w     47 calls
HF: Form C                          :      0.000u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.283u      0.000s      0.179w      5 calls
JKGrad: Amn                         :      0.033u      0.000s      0.040w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.083u      0.000s      0.033w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.000u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.150u      0.000s      0.074w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.034w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.022w      5 calls
DFH: initialize()                   :      0.117u      0.017s      0.067w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w     10 calls
| DFH: AO Construction              :      0.067u      0.000s      0.014w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.017s      0.041w      5 calls
| SAD Guess                         :      0.067u      0.017s      0.039w      1 calls
HF: Form G                          :      0.017u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.017u      0.000s      0.008w     48 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.300u      0.000s      0.130w     47 calls
HF: Form C                          :      0.000u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.283u      0.000s      0.179w      5 calls
| JKGrad: Amn                       :      0.033u      0.000s      0.040w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.014w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.083u      0.000s      0.033w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.150u      0.000s      0.074w      5 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.014w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:45:08 2026
Timers Off: Tue Mar 17 13:46:55 2026

Wall Time:      106.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.009w      3 calls
DFH: initialize()                   :      0.083u      0.000s      0.059w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.022w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.009w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.036w      1 calls
SAD Guess                           :      0.033u      0.017s      0.034w      1 calls
HF: Form G                          :      0.033u      0.000s      0.016w      9 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.033u      0.000s      0.016w      9 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.016w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.033u      0.000s      0.012w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.067u      0.000s      0.027w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      0.083u      0.000s      0.059w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.009w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.036w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.034w      1 calls
HF: Form G                          :      0.033u      0.000s      0.016w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.033u      0.000s      0.016w      9 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.016w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.012w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.067u      0.000s      0.027w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:47:53 2026
Timers Off: Tue Mar 17 13:47:56 2026

Wall Time:        2.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.037w      5 calls
Libint2ERI::Libint2ERI              :      0.150u      0.017s      0.064w     35 calls
DFH: initialize()                   :      0.100u      0.000s      0.069w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.015w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.039w      5 calls
SAD Guess                           :      0.050u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.183u      0.000s      0.128w     47 calls
HF: Form C                          :      0.050u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.000s      0.168w      5 calls
JKGrad: Amn                         :      0.067u      0.000s      0.039w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.050u      0.000s      0.030w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.017u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.117u      0.000s      0.068w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.037w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.023w      5 calls
DFH: initialize()                   :      0.100u      0.000s      0.069w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.014w     10 calls
| DFH: AO Construction              :      0.017u      0.000s      0.015w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.039w      5 calls
| SAD Guess                         :      0.050u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.008w     48 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.183u      0.000s      0.128w     47 calls
HF: Form C                          :      0.050u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.000s      0.168w      5 calls
| JKGrad: Amn                       :      0.067u      0.000s      0.039w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.014w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.050u      0.000s      0.030w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.017u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.117u      0.000s      0.068w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.013w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:47:54 2026
Timers Off: Tue Mar 17 13:47:56 2026

Wall Time:        2.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.036w      5 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.065w     35 calls
DFH: initialize()                   :      0.117u      0.017s      0.071w      5 calls
DFH: AO Construction                :      0.033u      0.000s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.041w      5 calls
SAD Guess                           :      0.050u      0.000s      0.039w      1 calls
HF: Form G                          :      0.050u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.050u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.017u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.117u      0.000s      0.130w     47 calls
HF: Form C                          :      0.050u      0.000s      0.017w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.000s      0.174w      5 calls
JKGrad: Amn                         :      0.083u      0.000s      0.042w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.033u      0.000s      0.031w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.050u      0.000s      0.014w      5 calls
JKGrad: Amnx                        :      0.083u      0.000s      0.071w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.036w      5 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.022w      5 calls
DFH: initialize()                   :      0.117u      0.017s      0.071w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.013w     10 calls
| DFH: AO Construction              :      0.033u      0.000s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.041w      5 calls
| SAD Guess                         :      0.050u      0.000s      0.039w      1 calls
HF: Form G                          :      0.050u      0.000s      0.010w     48 calls
